blue_ADC_champion	blue_Jungle_champion	blue_Middle_champion	blue_Support_champion	blue_Top_champion	red_ADC_champion	red_Jungle_champion	red_Middle_champion	red_Support_champion	red_Top_champion	blue_ban1	blue_ban2	blue_ban3	blue_ban4	blue_ban5	red_ban1	red_ban2	red_ban3	red_ban4	red_ban5	league	blue_win
Xayah	Sejuani	Orianna	Taric	Trundle	Kog'Maw	Jarvan IV	Taliyah	Rakan	Cho'gath	Lulu	Galio	Caitlyn	Rumble	Jayce	Kalista	Janna	Tristana	Singed	Shen	NALCS	0
Ashe	Graves	Taliyah	Thresh	Sejuani	Varus	Ivern	Orianna	Zyra	Jayce	Xayah	Zac	Lee Sin	Nidalee	Rengar	Galio	Syndra	Elise	Kennen	Fiora	LCK	0
Varus	Lee Sin	Taliyah	Zyra	Jarvan IV	Xayah	Gragas	Karma	Blitzcrank	Sejuani	Syndra	Galio	Ashe	Kennen	Graves	Zac	Elise	Thresh	Jayce	Fiora	LCK	0
Varus	Elise	Karma	Bard	Sejuani	Ashe	Lee Sin	LeBlanc	Lulu	Gragas	Zac	Jayce	Thresh	Singed	Fiora	Syndra	Kennen	Galio	Zyra	Blitzcrank	LCK	1
Ashe	Elise	Orianna	Zyra	Jarvan IV	Varus	Graves	Taliyah	Miss Fortune	Gragas	Kennen	LeBlanc	Syndra	Tahm Kench	Fiora	Karma	Zac	Lulu	Jayce	Zed	LCK	1
Xayah	Graves	Fizz	Lulu	Galio	Ashe	Lee Sin	Orianna	Thresh	Jarvan IV	Elise	Karma	Zyra	Fiora	Taliyah	Kennen	Zac	Syndra	LeBlanc	Rumble	LCK	0
Caitlyn	Lee Sin	Syndra	Tahm Kench	Shen	Draven	Olaf	Taliyah	Thresh	Fiora	Kennen	Elise	Zac	Varus	Kalista	Gragas	Jayce	Rumble	Gangplank	LeBlanc	LCK	1
Jhin	Olaf	Galio	Karma	Rumble	Varus	Graves	Orianna	Thresh	Gragas	Syndra	Tahm Kench	Lee Sin	Cassiopeia	Jayce	Kennen	Elise	Zac	Taliyah	LeBlanc	LCK	1
Twitch	Sejuani	Orianna	Blitzcrank	Gnar	Kalista	Gragas	Karthus	Morgana	Jarvan IV	Elise	Caitlyn	Thresh	Vladimir	Brand	Zac	Cassiopeia	Nunu	Tristana	Viktor	LCK	0
Ashe	Olaf	Galio	Karma	Rumble	Varus	Gragas	Syndra	Zyra	Camille	Taliyah	Elise	Zac	Graves	Kled	Lee Sin	Twitch	Kennen	Fizz	Ahri	LCK	0
Caitlyn	Elise	Galio	Braum	Gnar	Kalista	Warwick	Kassadin	Bard	Renekton	Cassiopeia	Sejuani	Blitzcrank	Lucian	Viktor	LeBlanc	Zac	Thresh	Orianna	Morgana	LCK	1
Caitlyn	Graves	Viktor	Thresh	Gragas	Varus	Elise	Orianna	Lulu	Jarvan IV	Aurelion Sol	Kennen	Kassadin	Taliyah	Lucian	Zac	Xayah	LeBlanc	Lee Sin	Syndra	EULCS	1
Twitch	Elise	Lucian	Braum	Akali	Varus	Graves	Orianna	Thresh	Fiora	Syndra	Zyra	Lee Sin	Rumble	Shen	Zac	Kennen	Xayah	Kled	Aurelion Sol	EULCS	0
Caitlyn	Lee Sin	Taliyah	Blitzcrank	Camille	Xayah	Kha'zix	Karma	Zyra	Kled	Rumble	Rek'Sai	Syndra	Rakan	Braum	Zac	Elise	Thresh	Fiora	Shen	LCK	1
Kalista	Lee Sin	Vladimir	Thresh	Kennen	Caitlyn	Rek'Sai	Kassadin	Zyra	Jarvan IV	Orianna	Ashe	Varus	Jayce	Zed	Elise	Zac	Syndra	LeBlanc	Taliyah	LCK	1
Twitch	Zac	Kassadin	Thresh	Fiora	Caitlyn	Lee Sin	Taliyah	Tahm Kench	Jarvan IV	Kennen	Syndra	Jayce	Nidalee	Olaf	Ashe	Varus	Elise	LeBlanc	Zed	LCK	1
Twitch	Olaf	Orianna	Thresh	Jayce	Caitlyn	Lee Sin	Galio	Braum	Sejuani	LeBlanc	Varus	Zac	Karma	Kennen	Syndra	Ashe	Elise	Rengar	Ivern	LCK	0
Xayah	Graves	Galio	Rakan	Jayce	Ashe	Nidalee	Cassiopeia	Brand	Kennen	Syndra	Thresh	Lee Sin	Orianna	Rengar	LeBlanc	Zac	Elise	Blitzcrank	Varus	LCK	1
Tristana	Elise	Taliyah	Thresh	Galio	Varus	Kha'zix	Syndra	Braum	Kennen	Jayce	Rumble	Xayah	Ivern	Tahm Kench	Zac	Twitch	Lee Sin	Fizz	Lucian	EULCS	1
Tristana	Elise	Orianna	Thresh	Shen	Varus	Lee Sin	Ahri	Malzahar	Galio	Jayce	Rumble	Xayah	Tahm Kench	Braum	Zac	Twitch	Kennen	Fiora	Syndra	EULCS	1
Xayah	Elise	Syndra	Rakan	Galio	Caitlyn	Lee Sin	Karma	Lulu	Rumble	Zyra	LeBlanc	Thresh	Gragas	Shen	Lucian	Kennen	Fiora			EULCS	1
Kog'Maw	Kha'zix	Orianna	Thresh	Galio	Caitlyn	Elise	Lucian	Malzahar	Shen	Rakan	Fiora	Kennen			Xayah	Zyra	LeBlanc	Kalista	Ashe	EULCS	1
Xayah	Graves	Syndra	Lulu	Gnar	Twitch	Kha'zix	Fizz	Karma	Galio	Zyra	LeBlanc	Thresh	Kog'Maw	Caitlyn	Kennen	Fiora	Rakan			EULCS	0
Caitlyn	Gragas	Syndra	Braum	Shen	Twitch	Elise	Ekko	Thresh	Kled	Lee Sin	Kennen	Varus	Lucian	Galio	Xayah	Malzahar	Zac	Rakan	Tahm Kench	EULCS	1
Xayah	Graves	Orianna	Tahm Kench	Gragas	Caitlyn	Zac	LeBlanc	Thresh	Galio	Shen	Ivern	Braum	Fiora	Jarvan IV	Lee Sin	Syndra	Rakan	Kennen	Rumble	EULCS	0
Varus	Olaf	Orianna	Lulu	Galio	Caitlyn	Lee Sin	Taliyah	Karma	Gragas	Shen	LeBlanc	Fiora	Syndra	Jayce	Zac	Elise	Ivern	Jarvan IV	Cassiopeia	NALCS	1
Xayah	Gragas	Orianna	Rakan	Renekton	Varus	Lee Sin	Syndra	Lulu	Jarvan IV	Elise	Olaf	Shen	Fiora	LeBlanc	Zac	Galio	Kennen	Kha'zix	Ivern	NALCS	1
Ashe	Kha'zix	Ahri	Lulu	Kennen	Caitlyn	Lee Sin	Aurelion Sol	Bard	Gragas	Shen	LeBlanc	Xayah	Zyra	Syndra	Zac	Elise	Galio	Olaf	Ivern	NALCS	0
Caitlyn	Elise	Orianna	Lulu	Jarvan IV	Varus	Kha'zix	Ahri	Karma	Shen	Ivern	Zyra	Nidalee	LeBlanc	Galio	Kennen	Zac	Thresh	Syndra	Renekton	NALCS	0
Caitlyn	Olaf	Orianna	Lulu	Kled	Varus	Elise	Ahri	Bard	Renekton	Kennen	Thresh	Zac	Syndra	LeBlanc	Zyra	Ivern	Karma	Shen	Galio	NALCS	0
Caitlyn	Gragas	Orianna	Karma	Shen	Kog'Maw	Elise	Taliyah	Lulu	Kled	Ivern	Zyra	Xayah	Varus	Ashe	Kennen	Zac	Thresh	Olaf	Syndra	NALCS	1
Varus	Elise	Syndra	Thresh	Shen	Ashe	Zac	Ekko	Zyra	Kled	Kennen	Taliyah	Tahm Kench	Fiora	LeBlanc	Xayah	Sejuani	Lulu	Orianna	Galio	LMS	0
Ashe	Lee Sin	Ekko	Karma	Kled	Varus	Zac	Syndra	Zyra	Shen	Xayah	Sejuani	Lulu	Kassadin	Orianna	Kennen	Taliyah	Thresh	Fiora	LeBlanc	LMS	1
Ashe	Kha'zix	Syndra	Braum	Jarvan IV	Varus	Gragas	Galio	Thresh	Sejuani	Lee Sin	Orianna	Ivern	Caitlyn	Xayah	Kennen	Elise	Zac	Fiora	Tahm Kench	LMS	1
Xayah	Gragas	Syndra	Braum	Sejuani	Caitlyn	Kha'zix	Ahri	Thresh	Galio	Kennen	Elise	Fiora	Karma	Kled	Orianna	Zac	Lee Sin	Tahm Kench	Gangplank	LMS	1
Ashe	Zac	Cassiopeia	Lulu	Jayce	Caitlyn	Ivern	Taliyah	Braum	Sejuani	Orianna	Galio	Xayah	Thresh	Shen	Elise	Kennen	Syndra	Fiora	Jarvan IV	LMS	0
Caitlyn	Rek'Sai	Galio	Braum	Jayce	Kalista	Gragas	Vel'koz	Rakan	Zed	Kassadin	Jax	Vladimir	Cassiopeia	Yasuo	Zac	Elise	Thresh	Syndra	LeBlanc	LCK	1
Ashe	Elise	Orianna	Thresh	Jarvan IV	Varus	Graves	Taliyah	Zyra	Kennen	Rumble	Galio	Lee Sin	Olaf	Nidalee	Syndra	Zac	Caitlyn	Jayce	LeBlanc	LCK	1
Ashe	Elise	Kassadin	Karma	Fiora	Varus	Gragas	Galio	Zyra	Kennen	Syndra	Caitlyn	Orianna	Lee Sin	Graves	Zac	Rumble	Thresh	Taliyah	Cassiopeia	LCK	0
Xayah	Graves	Syndra	Blitzcrank	Jarvan IV	Varus	Lee Sin	Taliyah	Karma	Kled	Galio	Zyra	Zac	Caitlyn	Ezreal	Elise	Thresh	Fiora	Rakan	Kennen	LCK	1
Varus	Gragas	Syndra	Karma	Kled	Xayah	Lee Sin	Jayce	Thresh	Rumble	Blitzcrank	Jarvan IV	Elise	Fiora	Graves	Zac	Galio	Zyra	Tahm Kench	Braum	LCK	1
Xayah	Graves	Taliyah	Rakan	Jayce	Ashe	Kha'zix	Karma	Zyra	Gragas	Galio	Zac	Orianna	Kennen	Kled	Syndra	Blitzcrank	Elise	Jarvan IV	Fiora	LCK	0
Varus	Elise	Lucian	Zyra	Gragas	Twitch	Kha'zix	LeBlanc	Thresh	Galio	Kennen	Syndra	Lee Sin	Fiora	Jayce	Zac	Xayah	Graves	Kassadin	Shen	EULCS	1
Lucian	Elise	Viktor	Braum	Galio	Varus	Kha'zix	Cassiopeia	Thresh	Shen	Kennen	LeBlanc	Syndra	Caitlyn	Twitch	Zac	Xayah	Graves	Orianna	Fiora	EULCS	1
Twitch	Elise	Syndra	Camille	Jarvan IV	Ashe	Kha'zix	Galio	Karma	Rumble	Lucian	Zac	Xayah	Braum	Tahm Kench	Kennen	Thresh	LeBlanc	Shen	Gragas	EULCS	1
Varus	Lee Sin	Taliyah	Tahm Kench	Jarvan IV	Twitch	Ivern	Syndra	Braum	Shen	Kennen	Thresh	Galio	Karma	Fiora	Zac	Xayah	Elise	Fizz	Ekko	EULCS	0
Caitlyn	Elise	Ahri	Bard	Shen	Jhin	Rengar	Orianna	Rakan	Fiora	Olaf	Ivern	Galio	Ashe	Varus	Zac	Lee Sin	Gragas	Karma	Aurelion Sol	NALCS	1
Twitch	Elise	Ahri	Karma	Renekton	Caitlyn	Ivern	Syndra	Nami	Gragas	Lee Sin	Kennen	Aurelion Sol	Shen	LeBlanc	Zac	Olaf	Galio	Ashe	Varus	NALCS	0
Ashe	Graves	LeBlanc	Tahm Kench	Gragas	Jhin	Elise	Karma	Zyra	Renekton	Galio	Kassadin	Lulu	Cassiopeia	Jarvan IV	Zac	Kennen	Xayah	Olaf	Lee Sin	NALCS	1
Jhin	Elise	Kassadin	Zyra	Fiora	Ashe	Ivern	Lucian	Karma	Galio	LeBlanc	Graves	Jayce	Tahm Kench	Orianna	Zac	Shen	Kennen	Cassiopeia	Syndra	NALCS	0
Caitlyn	Olaf	Taliyah	Lulu	Kennen	Xayah	Lee Sin	Cassiopeia	Rakan	Jarvan IV	LeBlanc	Fiora	Syndra	Orianna	Fizz	Zac	Galio	Elise	Ivern	Nunu	NALCS	1
Xayah	Olaf	Ekko	Rakan	Gragas	Ashe	Lee Sin	Syndra	Tahm Kench	Kennen	Shen	LeBlanc	Caitlyn	Cassiopeia	Taliyah	Zac	Galio	Elise	Orianna	Fizz	NALCS	0
Twitch	Rengar	Orianna	Thresh	Shen	Xayah	Ivern	Syndra	Rakan	Jayce	Caitlyn	Fiora	Zyra	Jarvan IV	Galio	Kennen	Zac	Elise	Fizz	LeBlanc	NALCS	1
Varus	Lee Sin	Taliyah	Karma	Rumble	Twitch	Graves	Orianna	Thresh	Shen	Kennen	Caitlyn	LeBlanc	Fiora	Rengar	Zac	Elise	Jayce	Zyra	Jarvan IV	NALCS	1
Tristana	Kayn	Orianna	Thresh	Jarvan IV	Sivir	Zac	Talon	Tahm Kench	Gragas	LeBlanc	Rakan	Cho'gath	Gnar	Shen	Elise	Kalista	Alistar	Jayce	Poppy	NALCS	1
Ashe	Olaf	Syndra	Thresh	Shen	Varus	Graves	Kassadin	Blitzcrank	Sejuani	Galio	Kennen	Zac	Tahm Kench	Lucian	Jayce	Elise	Lee Sin	Fiora	Rumble	LCK	1
Xayah	Ivern	Anivia	Bard	Kennen	Caitlyn	Lee Sin	Cassiopeia	Galio	Rumble	Jayce	Olaf	Thresh	Orianna	Taliyah	Zac	Elise	Syndra	Gragas	Graves	LCK	0
Xayah	Kha'zix	Kassadin	Braum	Kennen	Varus	Graves	Taliyah	Thresh	Lucian	Lee Sin	Syndra	Galio	Rumble	Tahm Kench	Zac	Jayce	Elise	Cassiopeia	Rakan	LCK	0
Ashe	Rek'Sai	Galio	Karma	Rumble	Varus	Kha'zix	Corki	Bard	Sejuani	Zac	Jayce	Kennen	Taliyah	Thresh	Lee Sin	Elise	Graves	Rengar	Olaf	LCK	1
Xayah	Elise	Kassadin	Thresh	Galio	Twitch	Rengar	Karma	Tahm Kench	Camille	Ekko	Zac	Kennen	Fiora	Kled	Ivern	Jarvan IV	LeBlanc	Shen	Syndra	LMS	0
Ashe	Elise	Orianna	Thresh	Galio	Xayah	Kha'zix	Taliyah	Tahm Kench	Kled	Twitch	Zac	Karma	Ekko	Syndra	Ivern	Jarvan IV	LeBlanc	Shen	Kassadin	LMS	0
Kog'Maw	Gragas	Galio	Thresh	Kled	Ashe	Elise	Orianna	Tahm Kench	Shen	Xayah	LeBlanc	Syndra	Jarvan IV	Blitzcrank	Kennen	Zac	Varus	Olaf	Lee Sin	LMS	1
Ashe	Zac	Ahri	Zyra	Kled	Varus	Elise	Kassadin	Brand	Jarvan IV	Kennen	Galio	Fiora	Fizz	Zed	Xayah	Syndra	Thresh	Orianna	LeBlanc	LMS	0
Varus	Lee Sin	Ahri	Bard	Shen	Ashe	Olaf	Galio	Zyra	Fiora	LeBlanc	Syndra	Kennen	Taliyah	Ivern	Zac	Elise	Caitlyn	Karma	Tahm Kench	NALCS	1
Caitlyn	Lee Sin	Galio	Lulu	Rumble	Varus	Gragas	Syndra	Karma	Renekton	LeBlanc	Shen	Kennen	Thresh	Olaf	Zac	Tahm Kench	Taliyah	Ahri	Fizz	NALCS	0
Ashe	Nidalee	Taliyah	Karma	Shen	Varus	Elise	Orianna	Zyra	Jarvan IV	Kled	Ivern	LeBlanc	Syndra	Gangplank	Lee Sin	Zac	Kennen	Jayce	Renekton	NALCS	1
Jhin	Sejuani	Orianna	Rakan	Jarvan IV	Caitlyn	Gragas	Corki	Alistar	Renekton	Xayah	LeBlanc	Lucian	Cho'gath	Cassiopeia	Kalista	Galio	Tristana	Ashe	Varus	NALCS	1
Caitlyn	Lee Sin	Ahri	Zyra	Jayce	Kog'Maw	Nunu	Syndra	Lulu	Galio	Kled	Ivern	LeBlanc	Shen	Orianna	Ashe	Varus	Karma	Taliyah	Kennen	NALCS	1
Jinx	Zac	Syndra	Tahm Kench	Gragas	Caitlyn	Nidalee	Vladimir	Galio	Kennen	Rumble	Zyra	Xayah	Nami	Renekton	Lulu	Karma	Thresh	Shen	LeBlanc	CBLoL	1
Lucian	Lee Sin	Taliyah	Braum	Kennen	Xayah	Gragas	Orianna	Rakan	Jarvan IV	LeBlanc	Thresh	Caitlyn	Fiora	Jayce	Zac	Galio	Elise	Morgana	Karma	CBLoL	0
Varus	Ivern	Cassiopeia	Karma	Galio	Twitch	Lee Sin	LeBlanc	Thresh	Rumble	Syndra	Kennen	Orianna	Ahri	Ashe	Zac	Caitlyn	Tahm Kench	Olaf	Elise	CBLoL	0
Lucian	Zac	LeBlanc	Braum	Rumble	Twitch	Lee Sin	Galio	Tahm Kench	Renekton	Syndra	Elise	Xayah	Rakan	Lulu	Karma	Caitlyn	Fiora	Varus	Zyra	CBLoL	1
Lucian	Olaf	Orianna	Lulu	Sejuani	Xayah	Graves	Syndra	Thresh	Galio	Elise	Rakan	Lee Sin	Caitlyn	Fiora	Twitch	Zac	LeBlanc	Braum	Karma	CBLoL	1
Caitlyn	Zac	Cassiopeia	Lulu	Shen	Lucian	Olaf	Ahri	Karma	Gangplank	Twitch	Thresh	LeBlanc	Syndra	Orianna	Elise	Rakan	Lee Sin	Ekko	Fizz	CBLoL	0
Caitlyn	Ivern	Ahri	Karma	Renekton	Xayah	Lee Sin	Orianna	Rakan	Poppy	Galio	Zac	Thresh	Rumble	Shen	Elise	Kennen	Zyra	LeBlanc	Syndra	CBLoL	0
Xayah	Kha'zix	Cassiopeia	Lulu	Galio	Ezreal	Ivern	LeBlanc	Karma	Shen	Kennen	Elise	Caitlyn	Fiora	Darius	Zac	Thresh	Lee Sin	Syndra	Orianna	CBLoL	1
Varus	Olaf	Orianna	Lulu	Kennen	Ashe	Ivern	Syndra	Zyra	Lucian	Shen	Jayce	Kassadin	Renekton	Jarvan IV	Zac	Elise	LeBlanc	Rengar	Caitlyn	NALCS	0
Ashe	Lee Sin	Orianna	Karma	Fiora	Varus	Gragas	Syndra	Lulu	Shen	LeBlanc	Zyra	Rengar	Ivern	Renekton	Zac	Kennen	Elise	Thresh	Rumble	NALCS	1
Kog'Maw	Kha'zix	Syndra	Lulu	Shen	Varus	Elise	Ekko	Karma	Galio	Ivern	LeBlanc	Kennen	Jayce	Lucian	Zac	Fiora	Olaf	Twitch	Caitlyn	NALCS	0
Xayah	Lee Sin	Taliyah	Sejuani	Kennen	Varus	Elise	Cassiopeia	Karma	Jayce	Shen	Kassadin	Lulu	Caitlyn	Lucian	Zac	LeBlanc	Galio	Rakan	Tahm Kench	NALCS	1
Ashe	Zac	Viktor	Bard	Rumble	Lucian	Kha'zix	Galio	Karma	Jarvan IV	Elise	Thresh	Jayce	Lee Sin	Olaf	Xayah	Syndra	Kennen	Caitlyn	Draven	EULCS	1
Ashe	Graves	Taliyah	Thresh	Jayce	Varus	Lee Sin	Orianna	Galio	Rumble	Syndra	Kennen	LeBlanc	Tahm Kench	Lucian	Zac	Xayah	Elise	Olaf	Kha'zix	EULCS	0
Ashe	Olaf	Syndra	Nami	Nautilus	Jhin	Rengar	Jayce	Soraka	Shen	Malzahar	Thresh	Graves	Ekko	Aurelion Sol	Varus	LeBlanc	Elise	Zyra	Ahri	EULCS	0
Ashe	Rengar	Orianna	Nami	Rumble	Ezreal	Elise	Aurelion Sol	Braum	Jayce	Thresh	Malzahar	Shen	Camille	Nautilus	Olaf	LeBlanc	Varus	Talon	Zed	EULCS	0
Kog'Maw	Elise	Lucian	Lulu	Jarvan IV	Kennen	Lee Sin	Cassiopeia	Karma	Shen	Xayah	Zac	Thresh	Zyra	LeBlanc	Syndra	Galio	Twitch	Tahm Kench	Orianna	EULCS	0
Varus	Lee Sin	Syndra	Thresh	Kennen	Kalista	Kha'zix	Fizz	Braum	Rumble	Jayce	Elise	Galio	Kassadin	Lucian	Zac	Gragas	Rakan	Malzahar	Ivern	EULCS	1
Caitlyn	Ivern	Taliyah	Thresh	Fiora	Kalista	Graves	Ekko	Braum	Gragas	Jayce	Elise	Galio	Lee Sin	Syndra	Zac	Rakan	Kennen	Jarvan IV	Rumble	EULCS	1
Varus	Elise	Orianna	Thresh	Jayce	Twitch	Ivern	Taliyah	Blitzcrank	Shen	Malzahar	Xayah	Galio	LeBlanc	Lulu	Kennen	Syndra	Zac	Caitlyn	Kalista	EULCS	0
Caitlyn	Warwick	Syndra	Braum	Galio	Twitch	Lee Sin	Katarina	Thresh	Jarvan IV	Kennen	Kha'zix	Elise	Fiora	LeBlanc	Zac	Xayah	Malzahar	Ivern	Kindred	EULCS	1
Ashe	Elise	Syndra	Karma	Shen	Caitlyn	Lee Sin	Cassiopeia	Zyra	Swain	Thresh	Kennen	Fizz	Sion	Illaoi	Rakan	Galio	Zac	Taliyah	Fiora	NACS	0
Caitlyn	Elise	Kassadin	Blitzcrank	Galio	Ashe	Lee Sin	LeBlanc	Zyra	Shen	Fiora	Rakan	Taliyah	Syndra	Fizz	Zac	Kennen	Thresh	Cassiopeia	Karma	NACS	1
Twitch	Zac	Taliyah	Thresh	Shen	Caitlyn	Gragas	Syndra	Taric	Galio	LeBlanc	Elise	Fiora	Lulu	Zyra	Kennen	Xayah	Karma	Ashe	Varus	NACS	1
Jhin	Olaf	LeBlanc	Karma	Fiora	Caitlyn	Kha'zix	Orianna	Thresh	Gragas	Galio	Xayah	Elise	Taliyah	Syndra	Zac	Kennen	Shen	Ekko	Fizz	NACS	0
Ashe	Elise	LeBlanc	Tahm Kench	Jarvan IV	Varus	Lee Sin	Viktor	Thresh	Gragas	Caitlyn	Ivern	Zac	Cassiopeia	Kassadin			Galio	Fiora	Kennen	NACS	1
Xayah	Warwick	Kassadin	Taliyah	Jayce	Caitlyn	Lee Sin	Vladimir	Thresh	Kennen		Galio	Elise	LeBlanc	Fiora	Zac	Ivern	Cassiopeia	Tahm Kench	Braum	NACS	0
Lucian	Gragas	Taliyah	Karma	Galio	Varus	Lee Sin	Cassiopeia	Thresh	Mordekaiser	Elise	LeBlanc	Kennen	Illaoi	Shen	Zac	Caitlyn	Xayah	Ashe	Twitch	NACS	0
Varus	Graves	Cassiopeia	Thresh	Swain	Twitch	Lee Sin	Orianna	Karma	Galio	Xayah	Fiora	Kennen	Ashe	Taliyah	Zac	Caitlyn	Elise	Illaoi	Shen	NACS	1
Twitch	Zac	Kassadin	Lulu	Swain	Xayah	Gragas	Orianna	Karma	Kennen	Galio	Shen	Caitlyn	LeBlanc	Syndra	Blitzcrank	Jarvan IV	Taliyah	Yasuo	Talon	NACS	0
Caitlyn	Gragas	Orianna	Karma	Shen	Xayah	Elise	Kassadin	Brand	Gangplank	Blitzcrank	Jarvan IV	Taliyah	Thresh	Lulu	Zac	Galio	Kennen	Syndra	LeBlanc	NACS	1
Varus	Elise	Vladimir	Karma	Kled	Ashe	Lee Sin	Kassadin	Zyra	Gragas	Shen	Taliyah	Thresh	Fiora	Syndra	Galio	Kennen	Zac	Renekton	Jarvan IV	NACS	1
Xayah	Lee Sin	Orianna	Rakan	Rumble	Ashe	Gragas	Twisted Fate	Tahm Kench	Fiora	Kennen	Galio	Caitlyn	LeBlanc	Vladimir	Zac	Shen	Elise	Taliyah	Syndra	NACS	1
Varus	Elise	Lissandra	Thresh	Fiora	Ashe	Lee Sin	LeBlanc	Tahm Kench	Gragas	Shen	Taliyah	Xayah	Kassadin	Syndra	Zac	Galio	Kennen	Renekton	Vladimir	NACS	1
Xayah	Lee Sin	Viktor	Bard	Rumble	Kalista	Kha'zix	Vladimir	Rakan	Galio	Elise	Thresh	Gnar	Graves	Rengar	Orianna	Zac	Syndra	Fiora	Kled	EULCS	0
Varus	Lee Sin	Cassiopeia	Thresh	Jarvan IV	Kog'Maw	Kha'zix	Taliyah	Blitzcrank	Galio	Elise	Xayah	Kalista	LeBlanc	Lulu	Orianna	Zac	Syndra	Fiora	Kled	EULCS	1
Varus	Zac	LeBlanc	Tahm Kench	Shen	Jinx	Kha'zix	Vladimir	Thresh	Galio	Elise	Xayah	Kalista	Gnar	Caitlyn	Orianna	Syndra	Cassiopeia	Fiora	Kled	EULCS	1
Ashe	Zac	Viktor	Tahm Kench	Jarvan IV	Varus	Gragas	Lucian	Janna	Fiora	Syndra	Galio	Kennen	Fizz	LeBlanc	Xayah	Elise	Thresh	Rumble	Cassiopeia	EULCS	0
Twitch	Kha'zix	LeBlanc	Lulu	Galio	Kalista	Lee Sin	Orianna	Braum	Shen	Thresh	Kennen	Xayah	Taliyah	Rakan	Elise	Zac	Syndra	Gangplank	Rumble	EULCS	1
Caitlyn	Jarvan IV	Syndra	Tahm Kench	Kled	Ashe	Kha'zix	LeBlanc	Zyra	Gragas	Fiora	Thresh	Galio	Orianna	Zed	Lee Sin	Elise	Zac	Kennen	Nidalee	LCK	0
Varus	Elise	Zed	Karma	Rumble	Ashe	Lee Sin	Orianna	Braum	Sejuani	Syndra	Kennen	Galio	Zyra	Lulu	Zac	Thresh	Jayce	Taliyah	Kled	LCK	0
Caitlyn	Graves	Galio	Braum	Kled	Ashe	Gragas	Taliyah	Tahm Kench	Jarvan IV	Fiora	Thresh	Orianna	Kennen	Zyra	Lee Sin	Zac	Elise	Syndra	Jayce	LCK	1
Varus	Kha'zix	Galio	Karma	Rumble	Ziggs	Olaf	Lucian	Zyra	Jarvan IV	Thresh	Zac	Lee Sin	Ashe	Cassiopeia	Elise	Syndra	Gragas	Nidalee	Graves	LCK	1
Caitlyn	Kha'zix	Viktor	Thresh	Jarvan IV	Ashe	Lee Sin	Cassiopeia	Braum	Rumble	Galio	Fiora	LeBlanc	Taliyah	Karma	Zac	Elise	Syndra	Varus	Orianna	LCK	0
Varus	Lee Sin	Cassiopeia	Bard	Jayce	Caitlyn	Ivern	Taliyah	Karma	Kennen	LeBlanc	Thresh	Syndra	Orianna	Lulu	Zac	Galio	Elise	Zyra	Kassadin	NALCS	1
Xayah	Lee Sin	Taliyah	Rakan	Galio	Varus	Elise	Cassiopeia	Braum	Renekton	LeBlanc	Kennen	Fiora	Zyra	Tahm Kench	Zac	Caitlyn	Thresh	Syndra	Orianna	NALCS	1
Ashe	Lee Sin	Malzahar	Zyra	Fiora	Caitlyn	Elise	Karma	Bard	Renekton	LeBlanc	Syndra	Xayah	Orianna	Taliyah	Zac	Galio	Kennen	Shen	Cassiopeia	NALCS	1
Lucian	Ivern	Taliyah	Karma	Kennen	Varus	Rengar	Ahri	Bard	Galio	Aurelion Sol	Caitlyn	LeBlanc	Syndra	Lee Sin	Zac	Elise	Xayah	Thresh	Ashe	NALCS	0
Varus	Gragas	Orianna	Zyra	Fiora	Caitlyn	Lee Sin	Taliyah	Galio	Rumble	LeBlanc	Elise	Kennen	Jayce	Renekton	Zac	Aurelion Sol	Shen	Bard	Thresh	NALCS	0
Varus	Lee Sin	LeBlanc	Sejuani	Kennen	Xayah	Graves	Kassadin	Blitzcrank	Gragas	Aurelion Sol	Caitlyn	Shen	Rakan	Rengar	Zac	Elise	Galio	Lucian	Tahm Kench	NALCS	0
Caitlyn	Gragas	Ahri	Bard	Kennen	Ziggs	Elise	Talon	Karma	Jarvan IV	LeBlanc	Zyra	Rengar	Orianna	Tahm Kench	Shen	Galio	Zac	Thresh	Syndra	NALCS	1
Ashe	Rengar	Orianna	Lulu	Kennen	Xayah	Lee Sin	LeBlanc	Karma	Gragas	Shen	Galio	Kassadin	Bard	Thresh	Elise	Zac	Jarvan IV	Ziggs	Zyra	NALCS	1
Kog'Maw	Zac	Ahri	Bard	Renekton	Jhin	Graves	Orianna	Zyra	Gragas	LeBlanc	Rengar	Jarvan IV	Varus	Caitlyn	Shen	Galio	Kennen	Ashe	Syndra	NALCS	1
Caitlyn	Elise	Taliyah	Karma	Jarvan IV	Xayah	Ivern	Cassiopeia	Rakan	Galio	Olaf	Rengar	Shen	Syndra	LeBlanc	Lee Sin	Zac	Kennen	Fiora	Jayce	NALCS	1
Xayah	Olaf	Galio	Rakan	Kennen	Caitlyn	Nidalee	Ahri	Karma	Renekton	Lee Sin	Fiora	Jayce	Taliyah	Cassiopeia	Elise	Shen	Zac	Rengar	Ivern	NALCS	1
Caitlyn	Elise	Taliyah	Karma	Jarvan IV	Xayah	Gragas	Lucian	Rakan	Galio	Olaf	Rengar	Kennen	Ivern	Syndra	Lee Sin	Zac	Jayce	Fiora	Renekton	NALCS	1
