blue_ADC_champion	blue_Jungle_champion	blue_Middle_champion	blue_Support_champion	blue_Top_champion	red_ADC_champion	red_Jungle_champion	red_Middle_champion	red_Support_champion	red_Top_champion	blue_ban1	blue_ban2	blue_ban3	blue_ban4	blue_ban5	red_ban1	red_ban2	red_ban3	red_ban4	red_ban5	league	blue_win
Ezreal	Rek'Sai	Syndra	Malzahar	Jayce	Ashe	Kha'zix	Orianna	Zyra	Maokai	Ryze	LeBlanc	Lee Sin	Ekko	Miss Fortune	Rengar	Camille	Ziggs	Caitlyn	Varus	LMS	0
Jhin	Rek'Sai	Ryze	Zyra	Nautilus	Varus	Kha'zix	Cassiopeia	Tahm Kench	Maokai	Jayce	LeBlanc	Malzahar	Miss Fortune	Thresh	Fizz	Camille	Rengar	Darius	Ashe	LMS	0
Ziggs	Rek'Sai	Syndra	Zyra	Jayce	Ezreal	Lee Sin	Zed	Miss Fortune	Maokai	Fizz	Camille	Kha'zix	Orianna	Jhin	LeBlanc	Rengar	Ryze	Varus	Ashe	LMS	0
Jhin	Rek'Sai	Ryze	Karma	Nautilus	Ashe	Kha'zix	Cassiopeia	Tahm Kench	Maokai	Jayce	LeBlanc	Malzahar	Zyra	Varus	Fizz	Camille	Rengar	Ezreal	Thresh	LMS	1
Varus	Elise	Talon	Karma	Kled	Ashe	Kha'zix	Vladimir	Lulu	Shen	Maokai	Renekton	Lee Sin	Zyra	Malzahar	Syndra	Rumble	Rengar	Camille	Nautilus	LMS	1
Jhin	Lee Sin	Aurelion Sol	Zyra	Maokai	Ashe	Graves	Syndra	Malzahar	Nautilus	Shen	Renekton	Miss Fortune	Karma	Lulu	Talon	Rumble	Rengar	Ahri	Kled	LMS	1
Varus	Kha'zix	Syndra	Karma	Shen	Ashe	Lee Sin	Fizz	Thresh	Gragas	Ekko	Rengar	Kennen	Nautilus	Illaoi	Rumble	Graves	Zilean	Lulu	Malzahar	LMS	1
Varus	Kha'zix	Vladimir	Lulu	Rumble	Ashe	Elise	Ahri	Karma	Renekton	Zed	Talon	Fizz	Camille	Kled	Syndra	Graves	Rengar	Orianna	Ekko	LMS	1
Ashe	Graves	Ahri	Malzahar	Maokai	Varus	Lee Sin	Orianna	Lulu	Nautilus	Syndra	Ekko	Rengar	Kennen	Illaoi	Rumble	Fizz	Zed	Gragas	Shen	LMS	0
Ezreal	Graves	Syndra	Fiddlesticks	Gragas	Kennen	Rengar	Viktor	Braum	Shen	Lee Sin	Elise	Orianna	LeBlanc	Ahri	Fizz	Camille	Malzahar	Zyra	Lulu	EULCS	1
Ashe	Rengar	Cassiopeia	Zyra	Rumble	Varus	Kha'zix	Syndra	Malzahar	Kled	Fizz	Camille	Elise	Shen	Kennen	Orianna	Graves	Lee Sin	Ahri	LeBlanc	EULCS	0
Kennen	Graves	Ahri	Braum	Gragas	Kalista	Rengar	Syndra	Thresh	Shen	Lee Sin	Elise	Orianna	Ashe	Caitlyn	Fizz	Camille	Malzahar	Zyra	Bard	EULCS	0
Ashe	Olaf	Orianna	Karma	Maokai	Kog'Maw	Elise	Ahri	Lulu	Nautilus	Shen	Rengar	Varus	Darius	Camille	Graves	Zyra	Malzahar	Syndra	Renekton	CBLoL	0
Ashe	Lee Sin	LeBlanc	Karma	Rumble	Lucian	Kha'zix	Cassiopeia	Thresh	Fizz	Shen	Syndra	Lulu	Zilean	Aurelion Sol	Graves	Zyra	Malzahar	Ahri	Orianna	CBLoL	0
Caitlyn	Lee Sin	Ekko	Lulu	Gragas	Varus	Elise	Syndra	Thresh	Maokai	Shen	Ashe	Aurelion Sol	Fizz	Fiora	Graves	Zyra	Malzahar	Renekton	Olaf	CBLoL	0
Lucian	Rengar	Taliyah	Malzahar	Shen	Varus	Camille	Cassiopeia	Zilean	Gragas	Kalista	Lulu	Gangplank	Brand	Vladimir	Ekko	Elise	Graves	Ashe	Caitlyn	TCL	1
Caitlyn	Graves	LeBlanc	Thresh	Trundle	Ashe	Rengar	Ryze	Karma	Fizz	Kalista	Lulu	Gangplank	Elise	Kha'zix	Ekko	Malzahar	Shen	Renekton	Fiora	TCL	1
Ezreal	Graves	Ahri	Karma	Nautilus	Caitlyn	Evelynn	Syndra	Brand	Gnar	Kalista	Lulu	Gangplank	Thresh	Fizz	Ekko	Malzahar	Shen	LeBlanc	Trundle	TCL	0
Ashe	Graves	Taliyah	Karma	Camille	Caitlyn	Ivern	Orianna	Brand	Fizz	Kalista	Evelynn	Lulu	Syndra	Vladimir	Ekko	Malzahar	Shen	LeBlanc	Cassiopeia	TCL	1
Varus	Rengar	LeBlanc	Lulu	Shen	Kennen	Elise	Syndra	Fiddlesticks	Renekton	Fizz	Camille	Malzahar	Zyra	Braum	Orianna	Graves	Lee Sin	Thresh	Nautilus	EULCS	1
Lucian	Elise	Viktor	Braum	Kennen	Varus	Graves	LeBlanc	Lulu	Shen	Lee Sin	Orianna	Rengar	Thresh	Caitlyn	Fizz	Camille	Malzahar	Syndra	Ryze	EULCS	0
Ezreal	Nidalee	Cassiopeia	Lulu	Shen	Ashe	Ivern	Syndra	Zyra	Nautilus	LeBlanc	Kha'zix	Rengar	Ahri	Orianna	Lee Sin	Graves	Elise	Camille	Renekton	NALCS	0
Ezreal	Graves	LeBlanc	Karma	Shen	Caitlyn	Kha'zix	Orianna	Nami	Nautilus	Lee Sin	Camille	Elise	Zyra	Renekton	Malzahar	Rengar	Lulu	Syndra	Rumble	NALCS	1
