blue_ADC_champion	blue_Jungle_champion	blue_Middle_champion	blue_Support_champion	blue_Top_champion	red_ADC_champion	red_Jungle_champion	red_Middle_champion	red_Support_champion	red_Top_champion	blue_ban1	blue_ban2	blue_ban3	blue_ban4	blue_ban5	red_ban1	red_ban2	red_ban3	red_ban4	red_ban5	league	blue_win
Xayah	Nidalee	Cassiopeia	Tahm Kench	Ornn	Varus	Jarvan IV	Ryze	Braum	Gnar	Gangplank	Sejuani	Shen	Kha'zix	Taric	Ezreal	Kalista	Kog'Maw	Camille	Jayce	LCK	0
Ezreal	Rengar	Malzahar	Braum	Gangplank	Sivir	Lee Sin	Ryze	Taric	Vladimir	Tahm Kench	Kog'Maw	Azir	Kha'zix	Jarvan IV	Kalista	Sejuani	Shen	Janna	Alistar	LCK	1
Tristana	Jarvan IV	Cassiopeia	Alistar	Cho'gath	Caitlyn	Gragas	Ryze	Braum	Gnar	Tahm Kench	Sejuani	Nunu	Zac	Ornn	Azir	Kalista	Zoe	Galio	Taliyah	LCK	1
Kog'Maw	Kha'zix	Ryze	Thresh	Gangplank	Tristana	Zac	Azir	Shen	Gnar	Alistar	Zoe	Kalista	Jarvan IV	Ornn	Malzahar	Sejuani	Ezreal	Tahm Kench	Braum	LCK	0
Kog'Maw	Zac	Azir	Tahm Kench	Gnar	Tristana	Kha'zix	Veigar	Braum	Gangplank	Shen	Sejuani	Ryze	Zoe	Varus	Kalista	Ezreal	Camille	Rengar	Nidalee	LCK	1
Varus	Jax	Azir	Braum	Gangplank	Caitlyn	Kha'zix	Veigar	Tahm Kench	Lucian	Camille	Kog'Maw	Ryze	Gnar	Zoe	Kalista	Ezreal	Sejuani	Malzahar	Rengar	LCK	1
Varus	Shyvana	Malzahar	Taric	Gangplank	Vayne	Kha'zix	Karma	Tahm Kench	Camille	Ryze	Kog'Maw	Braum	Tristana	Azir	Kalista	Ezreal	Sejuani	Zac	Rengar	LCK	1
Ezreal	Jarvan IV	Malzahar	Tahm Kench	Gnar	Kalista	Zac	Azir	Thresh	Ornn	Kog'Maw	Ryze	Sejuani	Janna	Shen	Vladimir	Zoe	Gangplank	Veigar	Vel'koz	LCK	1
Xayah	Kha'zix	Azir	Shen	Camille	Tristana	Zac	Ryze	Taric	Gangplank	Sejuani	Zoe	Tahm Kench	Braum	Alistar	Kalista	Ezreal	Kog'Maw	Gnar	Vladimir	LCK	1
Sivir	Sejuani	Ryze	Alistar	Gnar	Varus	Jarvan IV	Azir	Ornn	Jayce	Kog'Maw	Shen	Kalista	Gangplank	Camille	Zoe	Vladimir	Ezreal	Braum	Tahm Kench	LCK	1
Varus	Jarvan IV	Malzahar	Alistar	Gangplank	Caitlyn	Zac	Ryze	Shen	Camille	Sejuani	Azir	Kog'Maw	Jax	Gnar	Ezreal	Kalista	Zoe	Tahm Kench	Ornn	LCK	1
