blue_ADC_champion	blue_Jungle_champion	blue_Middle_champion	blue_Support_champion	blue_Top_champion	red_ADC_champion	red_Jungle_champion	red_Middle_champion	red_Support_champion	red_Top_champion	blue_ban1	blue_ban2	blue_ban3	blue_ban4	blue_ban5	red_ban1	red_ban2	red_ban3	red_ban4	red_ban5	league	blue_win
Kog'Maw	Ivern	Malzahar	Braum	Gnar	Tristana	Jarvan IV	Orianna	Tahm Kench	Ryze	Sejuani	Zoe	Kalista	Camille	Gangplank	Azir	Evelynn	Ezreal	Kha'zix	Shyvana	LCK	1
Xayah	Jarvan IV	Taliyah	Alistar	Ornn	Kog'Maw	Sejuani	Syndra	Tahm Kench	Gnar	Gangplank	Morgana	Ryze	LeBlanc	Corki	Azir	Zoe	Kalista	Rakan	Janna	LCK	0
Vayne	Sejuani	Azir	Braum	Ornn	Tristana	Zac	Ryze	Taric	Gnar	Gangplank	Shen	Varus	Jarvan IV	Kha'zix	Ezreal	Kog'Maw	Kalista	Camille	Jayce	LCK	0
Varus	Rengar	Malzahar	Tahm Kench	Gangplank	Xayah	Jarvan IV	Orianna	Rakan	Lucian	Kog'Maw	Azir	Sejuani	Shen	Braum	Kalista	Ezreal	Ryze	Kha'zix	Zac	LCK	1
Ezreal	Jarvan IV	Azir	Taric	Irelia	Tristana	Gragas	Ryze	Janna	Gnar		Sejuani	Riven		Gangplank	Zoe	Ornn	Camille	Jayce	Braum	NAAc	0
Kog'Maw	Zac	Orianna	Tahm Kench	Gnar	Ezreal	Jarvan IV	Ryze	Taric	Vladimir	Camille	Azir	Gangplank	Jayce	Braum	Ornn	Zoe	Shen	Malzahar	Cassiopeia	NAAc	1
Kog'Maw	Gragas	Xerath	Tahm Kench	Vladimir	Ezreal	Jarvan IV	Azir	Taric	Ornn	Shen	Kalista	Ryze	Braum	Alistar	Zoe	Gangplank	Sejuani	Gnar	Illaoi	NAAc	0
Kalista	Zac	Ryze	Tahm Kench	Ornn	Tristana	Jarvan IV	Azir	Braum	Singed	Camille	Sejuani	Zoe	Ezreal	Illaoi	Kog'Maw	Gangplank		Alistar	Kha'zix	NAAc	0
Kog'Maw	Jarvan IV	LeBlanc	Alistar	Ornn	Tristana	Rengar	Azir	Braum	Vladimir	Evelynn	Sejuani	Kalista	Illaoi	Zac	Zoe	Ryze	Ezreal	Taric	Tahm Kench	NAAc	1
Varus	Sejuani	Ryze	Tahm Kench	Cho'gath	Xayah	Lee Sin	Galio	Rakan	Vladimir	Shen	Malzahar	Azir	Jarvan IV	Kha'zix	Ezreal	Zoe	Kalista	Tristana	Ziggs	EULCS	1
Kalista	Kha'zix	Malzahar	Braum	Gnar	Ezreal	Jarvan IV	Ryze	Tahm Kench	Jayce	Shen	Sejuani	Kog'Maw	Tristana	Varus	Alistar	Evelynn	Rengar	Zoe	Azir	EULCS	0
Kog'Maw	Evelynn	LeBlanc	Lulu	Camille	Tristana	Sejuani	Azir	Tahm Kench	Ornn	Kha'zix		Alistar	Poppy	Malzahar	Kalista	Ezreal	Ryze	Braum	Zoe	EULCS	0
Ezreal	Evelynn	Azir	Tahm Kench	Gnar	Varus	Kha'zix	Ryze	Braum	Ornn	Alistar	Zoe	Kog'Maw	Caitlyn	Tristana	Kalista	Jarvan IV	Xayah	Sejuani	Vladimir	EULCS	0
Xayah	Jarvan IV	Azir	Rakan	Ornn	Tristana	Sejuani	Ryze	Taric	Gnar	Evelynn	Malzahar	Kalista	Kog'Maw	Braum	Zoe	Shen	Gangplank	Camille	Tahm Kench	EULCS	1
Tristana	Sejuani	Azir	Taric	Riven	Ezreal	Kha'zix	Malzahar	Braum	Gangplank	Kog'Maw	Camille	Ryze	Jarvan IV	Zac	Ornn	Zoe	Tahm Kench	Kalista	Janna	NAAc	1
Kalista	Sejuani	Ryze	Braum	Poppy	Ezreal	Kha'zix	Malzahar	Morgana	Cho'gath	Nidalee	Rek'Sai	Gangplank	Jarvan IV	Camille	Ornn	Zoe	Azir	Kog'Maw	Gnar	NAAc	0
Kog'Maw	Hecarim	Malzahar	Tahm Kench	Gangplank	Xayah	Sejuani	Taliyah	Braum	Ornn	Jarvan IV	Ryze	Kalista	Tristana	Ezreal	Evelynn	Azir	Zoe	Zac	Kha'zix	NAAc	1
Ezreal	Rek'Sai	Zoe	Alistar	Yorick	Xayah	Kha'zix	Azir	Braum	Ornn	Zac	Sejuani	Kalista	Varus	Tristana	Tahm Kench	Kog'Maw	Jarvan IV	Gnar	Camille	NAAc	1
Xayah	Sejuani	Orianna	Taric	Urgot	Ezreal	Rek'Sai	Taliyah	Tahm Kench	Gangplank	Ryze	Zoe	Ornn	Jarvan IV	Zac	Kog'Maw	Azir	Vladimir	Kalista	Tristana	NAAc	0
Xayah	Sejuani	Ryze	Rakan	Cho'gath	Caitlyn	Gragas	Azir	Tahm Kench	Gangplank	Shen	Jarvan IV	Kalista	Ezreal	Varus	Alistar	Ornn	Gnar	Braum	Taric	EULCS	0
Ezreal	Rengar	Ryze	Braum	Ornn	Sivir	Ivern	Azir	Tahm Kench	Illaoi	Kha'zix	Alistar	Kalista	Gangplank	Skarner	Evelynn	Zoe	Shen	Sejuani	Jarvan IV	EULCS	0
Sivir	Sejuani	Zoe	Shen	Cho'gath	Vayne	Jarvan IV	Kassadin	Braum	Vladimir	Evelynn	Kalista	Malzahar	Ezreal	Jayce	Azir	Ornn	Tahm Kench	Kog'Maw	Tristana	EULCS	0
Tristana	Jarvan IV	Ryze	Tahm Kench	Ornn	Kog'Maw	Zac	Azir	Braum	Gnar	Shen	Malzahar	Kha'zix	Sejuani	Camille	Zoe	Kalista	Ezreal	Varus	Caitlyn	EULCS	0
Varus	Sejuani	Ryze	Thresh	Gangplank	Tristana	Kha'zix	Cassiopeia	Braum	Cho'gath	Shen	Malzahar	Zoe	Gnar	Ornn	Kalista	Xayah	Jarvan IV	Tahm Kench	Kog'Maw	EULCS	1
Varus	Jarvan IV	Malzahar	Taric	Gnar	Tristana	Shyvana	Azir	Thresh	Ornn	Kog'Maw	Sejuani	Tahm Kench	Janna	Shen	Gangplank	Kalista	Ezreal	Zac	Braum	LCK	1
Varus	Nidalee	Malzahar	Zilean	Vladimir	Kog'Maw	Sejuani	Azir	Tahm Kench	Ornn	Gangplank	Zac	Gnar	Taliyah	Ryze	Kalista	Ezreal	Tristana	Janna	Braum	LCK	0
Caitlyn	Sejuani	Malzahar	Braum	Ornn	Sivir	Jarvan IV	Ryze	Tahm Kench	Gnar	Shen	Gangplank	Ezreal	Varus	Shyvana	Kog'Maw	Azir	Kalista	Cassiopeia	Camille	LCK	0
Sivir	Shyvana	Ryze	Tahm Kench	Maokai	Caitlyn	Jarvan IV	Aurelion Sol	Braum	Gnar	Kog'Maw	Azir	Kalista	Cassiopeia	Nidalee	Gangplank	Ezreal	Sejuani	Camille	Ornn	LCK	0
Sivir	Kha'zix	Azir	Tahm Kench	Ornn	Ezreal	Jarvan IV	Kassadin	Janna	Gnar	Ryze	Gangplank	Sejuani	Zoe	Veigar	Kog'Maw	Caitlyn	Braum	Camille	Nidalee	LCK	1
Tristana	Gragas	Malzahar	Taric	Gangplank	Kalista	Shyvana	Ryze	Alistar	Gnar	Ornn	Zoe	Azir	Thresh	Kha'zix	Kog'Maw	Tahm Kench	Ezreal	Braum	Shen	NALCS	1
Kog'Maw	Sejuani	Ryze	Braum	Shen	Ezreal	Rengar	Malzahar	Morgana	Cho'gath	Tahm Kench	Orianna	Kalista	Taric	Ornn	Zoe	Evelynn	Azir	Gangplank	Gnar	NALCS	1
Tristana	Evelynn	Malzahar	Ornn	Gangplank	Kog'Maw	Kha'zix	Azir	Taric	Vladimir	Rengar	Braum	Camille	Tahm Kench	Alistar	Kalista	Gnar	Zoe	LeBlanc	Ryze	NALCS	1
Kog'Maw	Zac	Ryze	Shen	Lucian	Varus	Jarvan IV	Cassiopeia	Alistar	Gangplank	Kalista	Tahm Kench	Tristana	Ornn	Jayce	Zoe	Azir	Ezreal	Camille	Janna	NALCS	1
Varus	Rengar	Malzahar	Taric	Ornn	Tristana	Sejuani	Zilean	Braum	Gangplank	Shen	Vladimir	Kog'Maw	Cassiopeia	Evelynn	Ezreal	Kalista	Zoe	Kha'zix	Jarvan IV	NALCS	0
Kog'Maw	Jarvan IV	Orianna	Taric	Ornn	Kalista	Sejuani	Malzahar	Thresh	Gnar	Tristana	Gangplank	Azir	Gragas	Alistar	Ezreal	Zoe	Tahm Kench	Braum	Morgana	NALCS	0
Kalista	Zac	Azir	Taric	Gnar	Kog'Maw	Kha'zix	Xerath	Tahm Kench	Cho'gath	Ornn	Malzahar	Zoe	Camille	Jayce	Ezreal	Gangplank	Ryze	Alistar	Shen	NALCS	1
Ezreal	Jarvan IV	Malzahar	Braum	Gnar	Caitlyn	Sejuani	Zilean	Janna	Gangplank	Aurelion Sol	Tahm Kench	Kalista	Tristana	Kog'Maw	Zoe	Ryze	Ornn	Evelynn	Zac	NALCS	1
Varus	Jarvan IV	Zoe	Taric	Gangplank	Tristana	Evelynn	Ryze	Tahm Kench	Kled	Ornn	Rengar	Zilean	Gnar	Camille	Ezreal	Kalista	Kog'Maw	Braum	Alistar	NALCS	0
Ezreal	Zac	Azir	Taric	Gnar	Tristana	Sejuani	Ryze	Braum	Ornn	Tahm Kench	Kalista	Zoe	Kha'zix	Evelynn	Gangplank	Kog'Maw	Shen	Alistar	Rengar	NALCS	1
Xayah	Sejuani	Zoe	Rakan	Ornn	Tristana	Jarvan IV	Ryze	Tahm Kench	Gnar	Kalista	Braum	Malzahar	Illaoi	Jax	Ezreal	Azir	Camille	Kog'Maw	Gangplank	LMS	1
Tristana	Zac	Taliyah	Shen	Camille	Caitlyn	Jarvan IV	Ryze	Braum	Gangplank	Azir	Zoe	Ornn	Tahm Kench	Alistar	Kalista	Malzahar	Ezreal	Sejuani	Kha'zix	LMS	1
Tristana	Sejuani	Corki	Taric	Ornn	Xayah	Jarvan IV	Taliyah	Rakan	Vladimir	Kalista	Zac	Camille	Shen	Braum	Azir	Zoe	Ezreal	Tahm Kench	Kog'Maw	LMS	1
Xayah	Jarvan IV	Syndra	Rakan	Vladimir	Tristana	Zac	Ryze	Tahm Kench	Camille	Azir	Zoe	Alistar	Sejuani	Varus	Kog'Maw	Kalista	Ezreal	Janna	Shen	LMS	0
Sivir	Sejuani	Ryze	Taric	Gangplank	Ezreal	Jarvan IV	Malzahar	Tahm Kench	Camille	Shen	Vladimir	Kalista	Shyvana	Kha'zix	Azir	Zoe	Kog'Maw	Braum	Janna	LMS	1
Ezreal	Sejuani	Ryze	Taric	Rumble	Kog'Maw	Jarvan IV	Azir	Rakan	Ornn	Malzahar	Shen	Alistar	Tahm Kench	Gnar	Camille	Kalista	Braum	Vladimir	Illaoi	CBLoL	0
Kalista	Lee Sin	Azir	Tahm Kench	Cho'gath	Varus	Jarvan IV	Jayce	Zilean	Rumble	Camille	Ornn	Alistar	Vladimir	Braum	Malzahar	Shen	Ezreal	Kha'zix	Sejuani	CBLoL	1
Kog'Maw	Jarvan IV	Xerath	Ornn	Dr. Mundo	Ezreal	Xin Zhao	Azir	Tahm Kench	Vladimir	Camille	Zoe	Braum	Kha'zix	Alistar	Sejuani	Shen	Kalista	Tristana	Varus	CBLoL	0
Tristana	Lee Sin	Azir	Braum	Jayce	Ezreal	Jarvan IV	Ryze	Alistar	Gnar	Sejuani	Shen	Kalista	Karma	Taric	Zoe	Camille	Vladimir	Kha'zix	Xin Zhao	CBLoL	1
Tristana	Sejuani	Azir	Braum	Ornn	Ezreal	Shyvana	Fiddlesticks	Alistar	Gnar	Gangplank	Shen	Kog'Maw	Illaoi	Kassadin	Tahm Kench	Zoe	Ryze	Trundle	Sivir	CBLoL	1
Varus	Shyvana	Corki	Trundle	Shen	Ezreal	Sejuani	Malzahar	Alistar	Ornn	Tahm Kench	Zoe	Ryze	Vladimir	Tristana	Gangplank	Kog'Maw	Azir	Orianna	Zilean	CBLoL	0
Ezreal	Jarvan IV	Cassiopeia	Braum	Gnar	Tristana	Sejuani	Azir	Taric	Gangplank	Ornn	Camille	Tahm Kench	Jayce	Alistar	Kalista	Kog'Maw	Shen	Ryze	Malzahar	CBLoL	1
Tristana	Evelynn	Azir	Alistar	Ornn	Varus	Jarvan IV	Kassadin	Tahm Kench	Gangplank	Shen	Braum	Ryze	Malzahar	Cassiopeia	Kog'Maw	Ezreal	Kalista	Janna	Jayce	CBLoL	1
Kog'Maw	Sejuani	Xerath	Alistar	Gnar	Tristana	Xin Zhao	Malzahar	Tahm Kench	Maokai	Evelynn	Ornn	Kalista	Jarvan IV	Camille	Shen	Braum	Azir	Cassiopeia	Ryze	CBLoL	1
Ezreal	Shyvana	Ryze	Janna	Gnar	Sivir	Sejuani	Xerath	Braum	Camille	Shen	Tahm Kench	Kog'Maw	Azir	Malzahar	Kalista	Ornn	Nidalee	Alistar	Jarvan IV	TCL	0
Tristana	Sejuani	Malzahar	Tahm Kench	Cho'gath	Vayne	Jarvan IV	Swain	Lulu	Gangplank	Kalista	Zoe	Ryze	Janna	Xayah	Azir	Ezreal	Ornn	Camille	Varus	TCL	1
Kog'Maw	Kha'zix	Zoe	Tahm Kench	Karma	Ezreal	Jarvan IV	Malzahar	Alistar	Maokai	Camille	Braum	Azir	Fiora	Cho'gath	Katarina	Ornn	Kalista	Sion	Gnar	TCL	1
Tristana	Sejuani	Ryze	Braum	Cho'gath	Ezreal	Jarvan IV	Azir	Tahm Kench	Gangplank	Zoe	Malzahar	Shen	Vladimir	Gnar	Kalista	Kog'Maw	Ornn	Alistar	Camille	TCL	0
Ezreal	Rengar	Malzahar	Braum	Shen	Varus	Kha'zix	Ryze	Alistar	Gnar	Nidalee	Ornn	Sejuani	Tahm Kench	Kog'Maw	Kalista	Gangplank	Zac	Jayce	Camille	LCK	0
Caitlyn	Kha'zix	Ryze	Braum	Jayce	Varus	Lee Sin	Azir	Janna	Gnar	Gangplank	Camille	Kalista	Zac	Jarvan IV	Ezreal	Sejuani	Kog'Maw	Tristana	Xayah	LCK	1
Kog'Maw	Zac	Malzahar	Tahm Kench	Gnar	Varus	Kha'zix	Galio	Braum	Vladimir	Sejuani	Kalista	Gangplank	Cassiopeia	Taliyah	Ryze	Azir	Zoe	Ivern	Jarvan IV	LCK	1
Sivir	Sejuani	Corki	Braum	Camille	Varus	Zac	Malzahar	Alistar	Gangplank	Zoe	Ryze	Ezreal	Gnar	Tahm Kench	Kog'Maw	Kalista	Azir	Vladimir	Ornn	LCK	1
Varus	Zac	Taliyah	Braum	Cho'gath	Xayah	Jarvan IV	Galio	Ornn	Vladimir	Sejuani	Kalista	Corki	Sivir	Caitlyn	Azir	Kog'Maw	Malzahar	Gnar	Ryze	LCK	0
Ezreal	Kha'zix	LeBlanc	Alistar	Gnar	Caitlyn	Jarvan IV	Azir	Ornn	Sion	Varus	Sejuani	Kog'Maw	Sivir	Vayne	Kalista	Tahm Kench	Braum	Malzahar	Zoe	LCK	1
Ezreal	Jarvan IV	Taliyah	Bard	Gnar	Vayne	Sejuani	Ryze	Braum	Ornn	Tahm Kench	Alistar	Kalista	LeBlanc	Azir	Varus	Kog'Maw	Sivir	Janna	Malzahar	LCK	0
Caitlyn	Sejuani	Galio	Janna	Jayce	Tristana	Nidalee	Corki	Braum	Gnar	Ryze	Varus	Sivir	Jarvan IV	Zoe	Kog'Maw	Kalista	Ezreal	Azir	Shen	LCK	1
Kalista	Jarvan IV	Azir	Braum	Vladimir	Varus	Shyvana	Ryze	Alistar	Gnar	Kog'Maw	Sivir	Galio	Janna	Shen	Sejuani	Ezreal	Tahm Kench	Camille	Gangplank	LCK	1
Ezreal	Jax	Azir	Tahm Kench	Maokai	Kalista	Jarvan IV	Vladimir	Braum	Ornn	Ryze	Sivir	Zoe	Malzahar	Xerath	Kog'Maw	Sejuani	Galio	Jayce	Kha'zix	LCK	1
Kalista	Jarvan IV	Corki	Taric	Gangplank	Kog'Maw	Lee Sin	Malzahar	Braum	Gnar	Zoe	Ryze	Shen	Kha'zix	Rengar	Sejuani	Azir	Galio	Vladimir	Camille	LCK	1
Ezreal	Zac	Azir	Alistar	Gnar	Varus	Sejuani	Taliyah	Taric	Gangplank	Galio	Kalista	Jarvan IV	Camille	Braum	Zoe	Ryze	Kog'Maw	Tahm Kench	Jayce	LCK	1
Kalista	Kha'zix	Karma	Kennen	Vladimir	Kog'Maw	Jarvan IV	Orianna	Tahm Kench	Gnar	Zoe	Ryze	Malzahar	Braum	Taric	Sejuani	Azir	Galio	Shen	Alistar	LCK	1
Ezreal	Rengar	Azir	Tahm Kench	Gangplank	Kalista	Nidalee	Zoe	Braum	Gnar	Camille	Kog'Maw	Jayce	Kha'zix	Shyvana	Sejuani	Ryze	Malzahar	Zac	Jarvan IV	LCK	0
Ezreal	Kha'zix	Galio	Alistar	Gangplank	Varus	Jax	Zoe	Braum	Gnar	Malzahar	Sejuani	Ryze	Zac	Rengar	Kalista	Camille	Kog'Maw	Taric	Azir	LCK	0
Varus	Rengar	Azir	Braum	Ornn	Kalista	Kha'zix	Kassadin	Taric	Gnar	Kog'Maw	Camille	Zoe	Veigar	Galio	Malzahar	Sejuani	Ryze	Gangplank	Jayce	LCK	1
Ezreal	Kha'zix	Azir	Braum	Sion	Sivir	Jarvan IV	Ryze	Taric	Vladimir	Tahm Kench	Kalista	Gnar	Alistar	Gangplank	Kog'Maw	Zoe	Ornn	Sejuani	Zac	NAAc	1
Kog'Maw	Rek'Sai	Ryze	Tahm Kench	Maokai	Ezreal	Jarvan IV	Malzahar	Zilean	Cho'gath	Jayce	Kalista	Ornn	Taric	Janna	Gangplank	Azir	Gnar	Illaoi	Sejuani	NAAc	1
Tristana	Jarvan IV	Syndra	Morgana	Gangplank	Varus	Sejuani	Azir	Ornn	Gnar	Ryze	Tahm Kench	Zac	Ezreal	Sivir	Camille	Zoe	Kog'Maw	Malzahar	Braum	NAAc	0
Varus	Jarvan IV	Malzahar	Tahm Kench	Gangplank	Ezreal	Kha'zix	Taliyah	Taric	Gnar	Ryze	Kog'Maw	Kalista	Urgot	Vladimir	Azir	Zoe	Sejuani	Zac	Rengar	NAAc	1
Tristana	Sejuani	Malzahar	Tahm Kench	Riven	Ezreal	Zac	Corki	Braum	Camille	Evelynn	Ornn	Kog'Maw	Kha'zix	Singed	Zoe	Azir	Ryze	Gangplank	Taric	NAAc	0
Caitlyn	Sejuani	Veigar	Tahm Kench	Gnar	Ezreal	Skarner	Azir	Thresh	Gangplank	Kalista	Kog'Maw	Ryze	Zac	Kha'zix	Galio	Jarvan IV	Braum	Sivir	Tristana	EULCS	1
Varus	Skarner	Azir	Tahm Kench	Ornn	Ezreal	Kha'zix	Ryze	Braum	Gnar	Kalista	Galio	Evelynn	Zac	Sejuani	Janna	Gangplank	Kog'Maw	Caitlyn	Sivir	EULCS	0
Kog'Maw	Sejuani	Zoe	Tahm Kench	Gnar	Tristana	Jarvan IV	Azir	Braum	Vladimir	Ryze	Sivir	Ezreal	Jayce	Camille	Kalista	Xayah	Galio	Ornn	Kha'zix	EULCS	1
Tristana	Jarvan IV	Azir	Janna	Vladimir	Caitlyn	Zac	Ryze	Braum	Lucian	Tahm Kench	Kalista	Zoe	Jayce	Camille	Gnar	Ornn	Alistar	Shen	Cho'gath	EULCS	0
Tristana	Kayn	Azir	Braum	Vladimir	Kog'Maw	Jarvan IV	Malzahar	Tahm Kench	Cho'gath	Kha'zix	Rengar	Alistar	Gnar	Zoe	Evelynn	Ryze	Kalista	Sejuani	Zac	EULCS	0
Ezreal	Kha'zix	Ryze	Braum	Camille	Kog'Maw	Sejuani	Malzahar	Alistar	Gangplank	Vladimir	Sivir	Kalista	Tahm Kench	Nasus	Jayce	Galio	Azir	Gnar	Jarvan IV	LCK	1
Kalista	Rengar	Galio	Tahm Kench	Camille	Ezreal	Nidalee	Azir	Braum	Fiora	Jayce	Gnar	Kha'zix	Jax	Zac	Sejuani	Vladimir	Gangplank	Alistar	Jarvan IV	LCK	0
Ezreal	Jarvan IV	Ryze	Ornn	Jayce	Varus	Kha'zix	Azir	Shen	Gnar	Gangplank	Braum	Malzahar	Janna	Taric	Kog'Maw	Sejuani	Kalista	Alistar	Camille	LCK	1
Kalista	Camille	Galio	Shen	Vladimir	Ezreal	Jarvan IV	Zoe	Braum	Maokai	Ryze	Azir	Kog'Maw	Tahm Kench	Taric	Gangplank	Sejuani	Malzahar	Kha'zix	Zac	LCK	1
Ezreal	Jarvan IV	Malzahar	Alistar	Gangplank	Varus	Kha'zix	Azir	Braum	Gnar	Vladimir	Shen	Kalista	Galio	Taric	Sejuani	Kog'Maw	Ryze	Janna	Tahm Kench	LCK	1
Ezreal	Kha'zix	Malzahar	Braum	Gnar	Varus	Sejuani	Corki	Tahm Kench	Gangplank	Ryze	Kalista	Zoe	Urgot	Camille	Evelynn	Kog'Maw	Azir	Jarvan IV	Zac	NAAc	0
Kog'Maw	Sejuani	Corki	Braum	Cho'gath	Ezreal	Jarvan IV	Malzahar	Ornn	Trundle	Gangplank	Tristana	Morgana	Taric	Camille	Tahm Kench	Zoe	Vladimir	Gnar	Ryze	NAAc	1
Ezreal	Jax	Malzahar	Alistar	Gnar	Tristana	Kha'zix	Azir	Braum	Maokai	Ornn	Kalista	Zoe	Sion	Jarvan IV	Tahm Kench	Kog'Maw	Ryze	Zac	Sejuani	NAAc	1
Tristana	Sejuani	Galio	Janna	Yasuo	Vayne	Rengar	Taliyah	Lulu	Gnar	Kog'Maw	Ornn	Poppy	Alistar	Braum	Zoe	Ryze	Azir	Riven	Camille	NAAc	1
Kalista	Jarvan IV	Malzahar	Tahm Kench	Kennen	Varus	Zac	Ryze	Alistar	Urgot	Kog'Maw	Azir	Braum	Janna	Taric	Zoe	Gangplank	Ornn	Ezreal	Tristana	NAAc	0
Kalista	Shyvana	Malzahar	Braum	Gangplank	Ezreal	Jarvan IV	Galio	Alistar	Vladimir	Kog'Maw	Zoe	Azir	Camille	Jayce	Ryze	Sejuani	Jax	Taric	Tahm Kench	LCK	0
Ezreal	Zac	Zoe	Alistar	Gangplank	Varus	Sejuani	Syndra	Tahm Kench	Gnar	Ryze	Azir	Malzahar	Braum	Taric	Galio	Kog'Maw	Jarvan IV	Camille	Jayce	LCK	1
Varus	Jarvan IV	Galio	Alistar	Vladimir	Ezreal	Jax	Corki	Braum	Ryze	Zoe	Gnar	Gangplank	Kha'zix	Nidalee	Sejuani	Azir	Kalista	Camille	Taric	LCK	0
Varus	Skarner	Azir	Braum	Gangplank	Kog'Maw	Kha'zix	Ryze	Taric	Ornn	Sejuani	Vladimir	Kalista	Camille	Jayce	Ezreal	Zoe	Galio	Jax	Jarvan IV	LCK	1
Kog'Maw	Zac	Azir	Taric	Gnar	Caitlyn	Jarvan IV	Ryze	Braum	Camille	Vladimir	Zoe	Jayce	Veigar	Galio	Tahm Kench	Kalista	Sejuani	Kha'zix	Skarner	EULCS	1
Caitlyn	Jax	Azir	Braum	Ornn	Kalista	Rengar	Vladimir	Alistar	Gangplank	Zoe	Sejuani	Kog'Maw	Zac	Jarvan IV	Evelynn	Ryze	Tahm Kench	Gnar	Kha'zix	EULCS	1
Kog'Maw	Kha'zix	Azir	Braum	Cho'gath	Caitlyn	Jarvan IV	Zoe	Tahm Kench	Jax	Ryze	Galio	Ezreal	Jayce	Gangplank	Ornn	Kalista	Camille	Gnar	Vladimir	EULCS	1
Varus	Jarvan IV	Azir	Tahm Kench	Gangplank	Caitlyn	Zac	Veigar	Zilean	Ornn	Skarner	Kalista	Vel'koz	Braum	Janna	Kog'Maw	Ryze	Rengar	Tristana	Gnar	EULCS	0
Tristana	Kha'zix	Azir	Tahm Kench	Cho'gath	Varus	Sejuani	Zoe	Braum	Gnar	Ryze	Kog'Maw	Kalista	Ornn	Ezreal	Galio	Shen	Vladimir	Jarvan IV	Zac	EULCS	1
Varus	Zac	Azir	Morgana	Gangplank	Ezreal	Sejuani	Jayce	Braum	Vladimir	Aurelion Sol	Kalista	Rengar	Alistar	Gnar	Evelynn	Zoe	Ornn	Jarvan IV	Taric	NALCS	1
Ezreal	Evelynn	Azir	Ornn	Gangplank	Tristana	Sejuani	Syndra	Braum	Gnar	Orianna	Kalista	Taric	Kog'Maw	Vladimir	Zoe	Tahm Kench	Ryze	Zac	Jarvan IV	NALCS	1
Sivir	Jax	Ryze	Alistar	Jayce	Ezreal	Sejuani	Cassiopeia	Taric	Gnar	Azir	Braum	Ornn	Shen	Zac	Zoe	Tahm Kench	Kog'Maw	Tristana	Varus	NALCS	0
Kog'Maw	Sejuani	Ryze	Braum	Gnar	Ezreal	Jarvan IV	Azir	Alistar	Vladimir	Kalista	Tahm Kench	Jayce	Taric	Morgana	Gangplank	Ornn	Zoe	Zac	Evelynn	NALCS	1
